day,day2,time,open_at_915,top,bottom,close_at_915,expiry_date,strike_price,right,target,SL,input_price,exit_price,PL,trade,month,year,day_max,PL_TLSL,Result,,
01-01-2018,Monday,13:21,25565.8,25605.05,25505.05,25544.3,11-Jan-18,25500,CE,100,50,215.3,141,74.3,T1,1,2018,74.3,74.3,1,,
02-01-2018,Tuesday,10:03,25382.2,25448,25348,25413.8,11-Jan-18,25300,CE,100,50,210.95,209.05,1.9,T2,1,2018,30.45,1.9,1,,
03-01-2018,Wednesday,12:42,25425.8,25469.5,25369.5,25413.2,11-Jan-18,25400,CE,100,50,157.75,142.8,14.95,T3,1,2018,20.05,14.95,1,,
04-01-2018,Thursday,12:12,25367.7,25417.45,25317.45,25367.2,11-Jan-18,25400,PE,100,50,140.05,109,31.05,T4,1,2018,31.05,31.05,1,,
05-01-2018,Friday,10:09,25524.4,25569.65,25469.65,25514.9,18-Jan-18,25600,PE,100,50,220,220,0,T5,1,2018,0,0,0,,
08-01-2018,Monday,14:30,25690.2,25762.05,25662.05,25733.9,18-Jan-18,25700,CE,100,50,184.85,177,7.85,T6,1,2018,10.9,7.85,1,,
09-01-2018,Tuesday,10:03,25727.9,25727.9,25677.8,25677.8,18-Jan-18,25700,CE,50,25,143.85,170.25,-26.4,T7,1,2018,4.9,-20.1,0,,
10-01-2018,Wednesday,10:48,25709.9,25738.85,25638.85,25667.8,18-Jan-18,25600,CE,100,50,172.8,152,20.8,T8,1,2018,37.8,20.8,1,,
11-01-2018,Thursday,10:03,25628.2,25628.2,25576.9,25576.9,18-Jan-18,25600,CE,50,25,117.1,143,-25.9,T9,1,2018,0,-25,0,,
12-01-2018,Friday,12:18,25732.4,25776.8,25676.8,25721.2,25-Jan-18,25700,CE,100,50,202.65,222.55,-19.9,T10,1,2018,37.65,-12.35,0,,
15-01-2018,Monday,10:03,25858.2,25925.4,25825.4,25892.6,25-Jan-18,26000,PE,100,50,217.95,185,32.95,T11,1,2018,37.95,32.95,1,,
16-01-2018,Tuesday,10:03,26129.2,26129.2,26067.3,26067.3,25-Jan-18,26000,CE,50,25,213.5,191,22.5,T12,1,2018,40.5,22.5,1,,
17-01-2018,Wednesday,10:03,25946.2,26015.55,25915.55,25984.9,25-Jan-18,26100,PE,100,50,219.75,118.15,101.6,T13,1,2018,101.6,101.6,1,,
18-01-2018,Thursday,10:03,26762.2,26762.2,26689.8,26689.8,25-Jan-18,26800,PE,50,25,229,259.35,-30.35,T14,1,2018,7,-18,0,,
19-01-2018,Friday,10:06,26615.7,26615.7,26552.7,26552.7,01-Feb-18,26600,PE,50,25,282,282,0,T15,1,2018,0,0,0,,
22-01-2018,Monday,10:03,26940.5,26966.15,26866.15,26891.8,01-Feb-18,27000,PE,100,50,360,369,-9,T16,1,2018,20.05,-9,0,,
23-01-2018,Tuesday,10:15,27089.9,27151.6,27051.6,27113.3,01-Feb-18,27200,PE,100,50,385.6,275.3,110.3,T17,1,2018,110.3,110.3,1,,
24-01-2018,Wednesday,10:03,27310.2,27382.2,27282.2,27354.2,01-Feb-18,27300,CE,100,50,358.9,431.85,-72.95,T18,1,2018,0,-50,0,,
25-01-2018,Thursday,10:21,27414.1,27414.1,27333.4,27333.4,01-Feb-18,27400,PE,50,25,347.8,379.45,-31.65,T19,1,2018,0,-25,0,,
30-01-2018,Tuesday,10:03,27466.8,27466.8,27368.1,27368.1,08-Feb-18,27300,CE,50,25,350,360.8,-10.8,T21,1,2018,7.3,-10.8,0,,
31-01-2018,Wednesday,10:03,27136.2,27251.9,27136.2,27251.9,08-Feb-18,27300,PE,57.85,28.925,296.15,336.65,-40.5,T22,1,2018,4.65,-24.275,0,,
01-02-2018,Thursday,10:03,27334.8,27473.8,27334.8,27473.8,08-Feb-18,27500,PE,69.5,34.75,301,340,-39,T23,2,2018,25.3,-9.45,0,,
05-02-2018,Monday,10:03,25968.2,26007.15,25907.15,25946.1,15-Feb-18,26100,PE,100,50,269.2,345.05,-75.85,T25,2,2018,0,-50,0,,
07-02-2018,Wednesday,10:03,26065.4,26065.4,26008.3,26008.3,15-Feb-18,25900,CE,50,25,313.9,205.75,108.15,T27,2,2018,108.15,108.15,1,,
